,sum,week_sum,slope7,slope21,std7,std21,mean7,mean21,cross,skew7,skew21,kurt7,kurt21,min7,min21,max7,max21,weekofyear,month,year,quarter
2017-02-25,58.0,1731.0,-67.24999999999999,-57.61688311688312,172.52315234552583,506.6900057281171,247.28571428571428,498.1904761904762,-1.0,0.5364760107054104,1.9517046693961813,-1.2023653015413813,3.4875467163012646,58.0,58.0,504.0,1963.0,9,3,2017,1
2017-02-26,65.0,1354.0,-58.96428571428571,-46.25974025974026,159.9977678415707,434.95982299408416,193.42857142857142,420.95238095238096,-1.0,1.3830374383841098,2.497681258957726,1.8161338105053033,7.583682936229506,58.0,58.0,504.0,1963.0,9,3,2017,1
2017-02-27,133.0,983.0,-21.07142857142857,-27.970129870129867,82.79463980809288,257.81148520723286,140.42857142857142,333.8095238095238,-1.0,0.69161865142245,1.2573879912859405,-0.9169875528720489,1.1491225978286652,58.0,58.0,273.0,986.0,9,3,2017,1
2017-02-28,15.0,846.0,-32.85714285714286,-24.20779220779221,94.90948068453956,233.31805392149067,120.85714285714286,292.2857142857143,-1.0,0.8005631336978178,1.415506605217921,-0.7800135432150554,2.5095994985676526,15.0,15.0,273.0,986.0,10,3,2017,1
2017-03-01,33.0,655.0,-27.535714285714285,-23.022077922077923,87.47924924013992,227.86923986397946,93.57142857142857,264.76190476190476,-1.0,1.7631373634098972,1.689420981079681,3.308246504312824,3.8400373834698307,15.0,15.0,273.0,986.0,10,3,2017,1
2017-03-02,26.0,408.0,-9.142857142857142,-23.09090909090909,39.94043183589259,228.11885999564262,58.285714285714285,243.28571428571428,-1.0,1.0770946107280304,1.889142541589995,1.2604581845399707,4.6359259605310505,15.0,15.0,133.0,986.0,10,3,2017,1
2017-03-03,9.0,339.0,-11.607142857142856,-24.10909090909091,42.68433413972709,231.1751448989379,48.42857142857143,225.38095238095238,-1.0,1.4902817203725336,2.0022975136263392,2.3622680178246327,4.984891971505856,9.0,9.0,133.0,986.0,10,3,2017,1
2017-03-04,29.0,310.0,-12.321428571428571,-27.179220779220774,43.00664400497813,235.0384872232371,44.285714285714285,217.76190476190476,-1.0,1.8389897457185085,1.980671355962146,3.4114980044511127,4.778321979698375,9.0,9.0,133.0,986.0,10,3,2017,1
2017-03-05,119.0,364.0,-1.357142857142857,-17.48701298701299,51.37119815616032,156.30598806430672,52.0,176.47619047619048,-1.0,1.1453228051188558,1.0563161923654691,-0.752448630670522,0.24791378488344287,9.0,9.0,133.0,514.0,10,3,2017,1
2017-03-06,11.0,242.0,5.821428571428571,-14.814285714285715,38.35734237776661,139.65014108392154,34.57142857142857,152.52380952380952,-1.0,2.3306680623927427,1.1835351974469488,5.745677177907318,0.9681048576066337,9.0,9.0,119.0,504.0,10,3,2017,1
2017-03-07,16.0,243.0,1.035714285714285,-15.209090909090909,38.27407427886738,140.85260786671444,34.714285714285715,141.42857142857142,-1.0,2.3347783423455333,1.3471587730113368,5.766999002471749,1.3303760617505296,9.0,9.0,119.0,504.0,11,3,2017,1
2017-03-08,16.0,226.0,-1.2142857142857146,-16.387012987012987,38.93462163556053,143.23947646876155,32.285714285714285,133.95238095238096,-1.0,2.4544332548201506,1.4164606958122141,6.212517970678995,1.3946993760634443,9.0,9.0,119.0,504.0,11,3,2017,1
2017-03-09,21.0,221.0,-3.3214285714285716,-15.396103896103892,39.11460572410104,139.57810580117817,31.571428571428573,120.38095238095238,-1.0,2.49277836939192,1.7215615497050516,6.361743099030744,2.5444484784068075,9.0,9.0,119.0,504.0,11,3,2017,1
2017-03-10,-36.0,176.0,-13.785714285714285,-17.303896103896104,46.45222840520165,143.65326973222426,25.142857142857142,112.52380952380952,-1.0,1.3824059333658416,1.6894101521061364,3.7838981784942947,2.40859500857006,-36.0,-36.0,119.0,504.0,11,3,2017,1
2017-03-11,0.0,147.0,-15.928571428571427,-17.87272727272727,47.33568069296318,144.9181213815552,21.0,104.19047619047619,-1.0,1.6400291309383674,1.8061520332723147,4.1737785248843435,2.707859199607385,-36.0,-36.0,119.0,504.0,11,3,2017,1
2017-03-12,25.0,53.0,-1.4999999999999993,-14.075324675324676,20.791481772235954,123.26813592056381,7.571428571428571,84.33333333333333,-1.0,-1.9262934764639215,2.3217157468638554,3.945994900332829,6.185633257176637,-36.0,-36.0,25.0,504.0,11,3,2017,1
2017-03-13,-9.0,33.0,-2.7857142857142856,-9.292207792207794,21.600264548633085,78.72731721701004,4.714285714285714,59.904761904761905,-1.0,-1.264879838342041,1.5127517113993638,1.1508418116998271,1.8545960358275144,-36.0,-36.0,25.0,273.0,11,3,2017,1
2017-03-14,-17.0,0.0,-3.5,-8.975324675324675,22.31591360441038,77.47017859425533,0.0,51.857142857142854,-1.0,-0.48953846056311273,1.786439361839702,-0.8456702311253039,2.961623305846921,-36.0,-36.0,25.0,273.0,12,3,2017,1
